PlayerName,team,opp,Prop,Over_Under,betrivers,draftkings,fanduel,mgm,Value,ImageURL,Implied_Prob
Austin Gomber,COL,MIL,Strikeouts,Under,(3.5) -122,(3.5) -110,(3.5) -110,(3.5) -110,3.5,https://static.prizepicks.com/images/players/mlb/Austin_Gomber_f27bbbb3-40ab-4ade-b6ec-355b9499da40.webp,53.02%
Austin Gomber,COL,MIL,Strikeouts,Over,(3.5) -109,(3.5) -120,(3.5) -116,(3.5) -120,3.5,https://static.prizepicks.com/images/players/mlb/Austin_Gomber_f27bbbb3-40ab-4ade-b6ec-355b9499da40.webp,53.74%
Brendan Rodgers,COL,MIL,Total Bases,Over,(1.5) -112,(1.5) -110,None,(1.5) -105,1.5,https://static.prizepicks.com/images/players/mlb/Second_Base_52cc8d0b-6e9d-4324-a385-758ca6433e66.webp,52.14%
Brendan Rodgers,COL,MIL,Total Bases,Under,(1.5) -125,(1.5) -125,None,(1.5) -120,1.5,https://static.prizepicks.com/images/players/mlb/Second_Base_52cc8d0b-6e9d-4324-a385-758ca6433e66.webp,55.22%
Charlie Blackmon,COL,MIL,Total Bases,Over,(1.5) -107,(1.5) -130,None,(1.5) -120,1.5,https://static.prizepicks.com/images/players/mlb/Charlie_Blackmon_6d5ea773-5f3d-470e-b572-b59fc278f892.webp,54.25%
Charlie Blackmon,COL,MIL,Total Bases,Under,(1.5) -130,(1.5) -105,None,(1.5) -110,1.5,https://static.prizepicks.com/images/players/mlb/Charlie_Blackmon_6d5ea773-5f3d-470e-b572-b59fc278f892.webp,53.37%
Ezequiel Tovar,COL,MIL,Total Bases,Over,(1.5) -112,(1.5) -125,None,(1.5) -130,1.5,https://static.prizepicks.com/images/players/mlb/Ezequiel_Tovar_9f9b67ad-6d80-408a-bf23-4ff1dbd8e999.webp,54.97%
Ezequiel Tovar,COL,MIL,Total Bases,Under,(1.5) -125,(1.5) -105,None,(1.5) 100,1.5,https://static.prizepicks.com/images/players/mlb/Ezequiel_Tovar_9f9b67ad-6d80-408a-bf23-4ff1dbd8e999.webp,52.26%
Jackson Chourio,MIL,@COL,Runs,Over,(0.5) -129,(0.5) -130,None,(0.5) -130,0.5,https://static.prizepicks.com/images/players/mlb/Jackson_Chourio_87128c5c-da3c-4fe6-9f04-83d6f8dc1302.webp,56.46%
Jackson Chourio,MIL,@COL,Runs,Under,(0.5) -107,(0.5) -105,None,(0.5) 100,0.5,https://static.prizepicks.com/images/players/mlb/Jackson_Chourio_87128c5c-da3c-4fe6-9f04-83d6f8dc1302.webp,50.97%
